公司名称,公司代码,股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
安克创新,300866,300866,2026-06-30,按行业分类,消费电子业,16605008753.42,1.0,8331940197.78,1.0,8273068555.64,1.0,0.498227
安克创新,300866,300866,2026-06-30,按产品分类,充电储能类,8930214940.56,0.537802,4553589719.78,0.546522,4376625220.78,0.529021,0.490092
安克创新,300866,300866,2026-06-30,按产品分类,智能创新类,4186335499.89,0.252113,2201563183.73,0.264232,1984772316.16,0.239908,0.474107
安克创新,300866,300866,2026-06-30,按产品分类,智能影音类,3484611516.57,0.209853,1575725911.0,0.189119,1908885605.57,0.230735,0.547804
安克创新,300866,300866,2026-06-30,按产品分类,其他,3846796.4,0.000232,1061383.27,0.000127,2785413.13,0.000337,0.724086
安克创新,300866,300866,2026-06-30,按地区分类,境外,15729193015.7,0.947256,7857136662.24,0.943014,7872056353.46,0.951528,0.500474
安克创新,300866,300866,2026-06-30,按地区分类,境内,875815737.72,0.052744,474803535.54,0.056986,401012202.18,0.048472,0.457873
安克创新,300866,300866,2025-12-31,按行业分类,消费电子业,30514403376.92,1.0,16762975546.47,1.0,13751427830.45,1.0,0.450654
安克创新,300866,300866,2025-12-31,按产品分类,充电储能类,15401752793.44,0.504737,9048070456.59,0.539765,6353682336.85,0.462038,0.41253
安克创新,300866,300866,2025-12-31,按产品分类,智能创新类,8271291709.88,0.271062,4230776251.72,0.252388,4040515458.16,0.293825,0.488499
安克创新,300866,300866,2025-12-31,按产品分类,智能影音类,6833490946.62,0.223943,3482839706.24,0.20777,3350651240.38,0.243658,0.490328
安克创新,300866,300866,2025-12-31,按产品分类,其他(补充),7867926.98,0.000258,1289131.92,7.7e-05,6578795.06,0.000478,0.836154
安克创新,300866,300866,2025-12-31,按地区分类,境外,29482834555.22,0.966194,16037633844.62,0.95673,13445200710.6,0.977731,0.456035
安克创新,300866,300866,2025-12-31,按地区分类,境内,1031568821.7,0.033806,725341701.85,0.04327,306227119.85,0.022269,0.296856
安克创新,300866,300866,2025-06-30,按行业分类,消费电子业,12866762779.48,1.0,7111435099.23,1.0,5755327680.25,1.0,0.447302
安克创新,300866,300866,2025-06-30,按产品分类,充电储能类,6815668504.73,0.529711,4047965567.49,0.569219,2767702937.24,0.480894,0.406079
安克创新,300866,300866,2025-06-30,按产品分类,智能创新类,3250927641.51,0.252661,1637488236.09,0.230261,1613439405.42,0.280338,0.496301
安克创新,300866,300866,2025-06-30,按产品分类,智能影音类,2798241488.98,0.217478,1425375697.68,0.200434,1372865791.3,0.238538,0.490617
安克创新,300866,300866,2025-06-30,按产品分类,其他(补充),1925144.26,0.00015,605597.97,8.5e-05,1319546.29,0.000229,0.685427
安克创新,300866,300866,2025-06-30,按地区分类,境外,12416447901.3,0.965002,6762476310.36,0.95093,5653971590.94,0.982389,0.455361
安克创新,300866,300866,2025-06-30,按地区分类,境内,450314878.18,0.034998,348958788.87,0.04907,101356089.31,0.017611,0.225078
安克创新,300866,300866,2024-12-31,按行业分类,消费电子业,24710080329.34,1.0,13918403694.15,1.0,10791676635.19,1.0,0.436732
安克创新,300866,300866,2024-12-31,按产品分类,充电储能类,12667006821.1,0.512625,7415203131.88,0.532762,5251803689.22,0.486653,0.414605
安克创新,300866,300866,2024-12-31,按产品分类,智能创新类,6336476919.1,0.256433,3391303871.48,0.243656,2945173047.62,0.272912,0.464797
安克创新,300866,300866,2024-12-31,按产品分类,智能影音类,5692427101.62,0.230369,3108036030.98,0.223304,2584391070.64,0.23948,0.454005
安克创新,300866,300866,2024-12-31,按产品分类,其他,14169487.52,0.000573,3860659.81,0.000277,10308827.71,0.000955,0.727537
安克创新,300866,300866,2024-12-31,按地区分类,境外,23825145042.27,0.964187,13362836473.49,0.960084,10462308568.78,0.969479,0.439129
安克创新,300866,300866,2024-12-31,按地区分类,境内,884935287.07,0.035813,555567220.66,0.039916,329368066.41,0.030521,0.372195
安克创新,300866,300866,2024-06-30,按行业分类,消费电子业,9648327221.81,1.0,5289297067.56,1.0,4359030154.25,1.0,0.451791
安克创新,300866,300866,2024-06-30,按产品分类,充电储能类产品,4974808494.09,0.515614,2836416485.98,0.536256,2138392008.11,0.490566,0.429844
安克创新,300866,300866,2024-06-30,按产品分类,智能创新类产品,2359746641.09,0.244576,1219923176.15,0.23064,1139823464.94,0.261486,0.483028
安克创新,300866,300866,2024-06-30,按产品分类,智能影音类产品,2308721563.82,0.239287,1232508716.16,0.233019,1076212847.66,0.246893,0.466151
安克创新,300866,300866,2024-06-30,按产品分类,其他,5050522.81,0.000523,448689.27,8.5e-05,4601833.54,0.001056,0.91116
安克创新,300866,300866,2024-06-30,按地区分类,境外,9271481458.86,0.960942,5063237895.78,0.957261,4208243563.08,0.965408,0.453891
安克创新,300866,300866,2024-06-30,按地区分类,境内,376845762.95,0.039058,226059171.78,0.042739,150786591.17,0.034592,0.400128
安克创新,300866,300866,2023-12-31,按行业分类,消费电子业,17507203144.25,1.0,9885259774.07,1.0,7621943370.18,1.0,0.43536
安克创新,300866,300866,2023-12-31,按产品分类,充电储能类产品,8603582343.89,0.491431,4967818672.59,0.502548,3635763671.3,0.477013,0.422587
安克创新,300866,300866,2023-12-31,按产品分类,智能创新类产品,4541290907.94,0.259396,2429593844.48,0.245779,2111697063.46,0.277055,0.464999
安克创新,300866,300866,2023-12-31,按产品分类,智能影音类产品,4285272099.84,0.244772,2420242113.35,0.244833,1865029986.49,0.244692,0.435219
安克创新,300866,300866,2023-12-31,按产品分类,其他,77057792.58,0.004401,67605143.65,0.006839,9452648.93,0.00124,0.12267
安克创新,300866,300866,2023-12-31,按地区分类,境外,16869249360.7,0.96356,9474170144.44,0.958414,7395079216.26,0.970235,0.438376
安克创新,300866,300866,2023-12-31,按地区分类,境内,637953783.55,0.03644,411089629.63,0.041586,226864153.92,0.029765,0.355612
安克创新,300866,300866,2023-06-30,按行业分类,消费电子业,7065692139.83,1.0,4014794482.84,1.0,3050897656.99,1.0,0.43179
安克创新,300866,300866,2023-06-30,按产品分类,充电类,3483427549.01,0.493006,1971660140.54,0.491099,1511767408.47,0.495516,0.433988
安克创新,300866,300866,2023-06-30,按产品分类,智能创新类产品,1945714132.68,0.275375,1107766915.89,0.275921,837947216.79,0.274656,0.430663
安克创新,300866,300866,2023-06-30,按产品分类,无线音频类,1562602336.55,0.221153,879350648.03,0.219028,683251688.52,0.223951,0.437252
安克创新,300866,300866,2023-06-30,按产品分类,其他(补充),73396248.06,0.010388,55811345.77,0.013901,17584902.29,0.005764,0.239589
安克创新,300866,300866,2023-06-30,按产品分类,其他,551873.53,7.8e-05,205432.61,5.1e-05,346440.92,0.000114,0.627754
安克创新,300866,300866,2023-06-30,按地区分类,中国,9543694786.55,1.350709,7805959402.85,1.944299,1737735383.7,0.569582,0.182082
安克创新,300866,300866,2023-06-30,按地区分类,美国,3228158238.9,0.456878,2611848224.77,0.650556,616310014.13,0.202009,0.190917
安克创新,300866,300866,2023-06-30,按地区分类,欧洲,2052027346.16,0.290421,1770867923.01,0.441086,281159423.15,0.092156,0.137015
安克创新,300866,300866,2023-06-30,按地区分类,日本,1066876694.7,0.150994,784025448.59,0.195284,282851246.11,0.092711,0.265121
安克创新,300866,300866,2023-06-30,按地区分类,其他,428422877.7,0.060634,255523969.87,0.063646,172898907.83,0.056671,0.403571
安克创新,300866,300866,2023-06-30,按地区分类,分部间抵销,-9253487804.18,-1.309636,-9213430486.25,-2.29487,-40057317.93,-0.01313,
安克创新,300866,300866,2022-12-31,按行业分类,消费电子业,14250519798.29,1.0,8730994681.47,1.0,5519525116.82,1.0,0.387321
安克创新,300866,300866,2022-12-31,按产品分类,充电类产品,6876255027.33,0.482527,3997802191.31,0.457886,2878452836.02,0.521504,0.418608
安克创新,300866,300866,2022-12-31,按产品分类,智能创新类产品,4391492992.62,0.308164,2838653322.38,0.325124,1552839670.24,0.281336,0.353602
